fip_weight,fip_prior_ip,prob_shrinkage,season,games,accuracy,log_loss,brier
30,25,0.16,2025,2430,0.5613168724279836,0.6788285266587618,0.24303382415813787
45,75,0.16,2025,2430,0.5625514403292181,0.6789423618540184,0.24308714228698258
30,0,0.12,2025,2430,0.5625514403292181,0.6790115076765112,0.24308189014831716
50,100,0.16,2025,2430,0.5617283950617284,0.6790521170112126,0.243139071762094
40,25,0.14,2025,2430,0.5641975308641975,0.6790622704088772,0.2431268316910613
35,50,0.16,2025,2430,0.5604938271604938,0.6791255201023345,0.24317555023448664
40,75,0.16,2025,2430,0.5613168724279836,0.6792545974604476,0.24323667796238638
50,50,0.14,2025,2430,0.5666666666666667,0.6792774795589891,0.24322696658076248
45,100,0.16,2025,2430,0.5625514403292181,0.6793243500703372,0.24326947757146306
25,25,0.16,2025,2430,0.5625514403292181,0.679356960406844,0.24328624278031946
35,25,0.14,2025,2430,0.5617283950617284,0.6794262549541483,0.24330402350817798
45,50,0.14,2025,2430,0.5650205761316872,0.6795249429644784,0.2433486096969956
30,50,0.16,2025,2430,0.5613168724279836,0.6795412315888488,0.24337410806263673
35,75,0.16,2025,2430,0.5621399176954732,0.6796021612636044,0.24340273913059723
40,100,0.16,2025,2430,0.562962962962963,0.6796243577752696,0.24341287789583982
25,0,0.12,2025,2430,0.5588477366255145,0.6796452975092536,0.24338610776253863
50,75,0.14,2025,2430,0.5641975308641975,0.6797555589155111,0.24345861663267745
40,50,0.14,2025,2430,0.5613168724279836,0.6798236000339273,0.243493695321428
30,25,0.14,2025,2430,0.5613168724279836,0.6798652209724612,0.24351566792325602
45,0,0.1,2025,2430,0.5695473251028806,0.6798742743598836,0.2433835047376862
40,0,0.1,2025,2430,0.5683127572016461,0.6799304730427248,0.24343382896014548
35,100,0.16,2025,2430,0.565843621399177,0.6799523999725231,0.2435694196432568
50,0,0.1,2025,2430,0.5720164609053497,0.6799800295273639,0.24340280499466604
30,75,0.16,2025,2430,0.5641975308641975,0.6799854227641354,0.24358553460695184
50,25,0.12,2025,2430,0.5662551440329218,0.6800035142481278,0.24351852191859022
25,50,0.16,2025,2430,0.562962962962963,0.6800045634427746,0.24359498948270444
45,75,0.14,2025,2430,0.5625514403292181,0.6800128618205808,0.24358349090332085
50,100,0.14,2025,2430,0.5617283950617284,0.6801248038089487,0.24363634947123264
35,0,0.1,2025,2430,0.5674897119341564,0.680155829104895,0.24355819556229777
45,25,0.12,2025,2430,0.565843621399177,0.6801674956219844,0.24360814850830378
35,50,0.14,2025,2430,0.5604938271604938,0.6801742021926889,0.24366265785729102
30,100,0.16,2025,2430,0.5633744855967078,0.6803087164422903,0.24373923764355804
40,75,0.14,2025,2430,0.5613168724279836,0.680309237790462,0.24372633905109803
