pitcher_id,name,team,ip,era,fip,k,bb,hbp,hr,games_started
489119,Wade Miley,Cincinnati Reds,12.0,6.75,6.94,7,6,1,3,2
682989,Victor Mederos,Los Angeles Angels,17.0,7.41,7.16,14,12,3,4,3
691951,Sam Aldegheri,Los Angeles Angels,13.7,7.9,7.27,12,10,4,3,2
687134,Bradley Blalock,Miami Marlins,58.7,9.36,7.28,27,23,3,17,12
676272,Bobby Miller,Los Angeles Dodgers,5.0,12.6,7.3,7,2,1,2,1
694918,Blade Tidwell,San Francisco Giants,15.0,9.0,7.44,10,10,1,4,2
680735,Austin Cox,Gwinnett Stripers,21.3,8.86,7.51,22,7,0,9,1
687223,Carson Palmquist,Colorado Rockies,34.3,8.91,7.76,27,25,3,10,7
448179,Rich Hill,Kansas City Royals,9.0,5.0,7.77,4,8,0,2,2
669145,Bruce Zimmermann,Memphis Redbirds,6.0,7.5,8.1,1,2,0,2,1
641482,Nestor Cortes,San Diego Padres,34.3,6.29,8.26,29,20,2,13,8
802419,Thomas Harrington,Pittsburgh Pirates,8.7,15.58,8.41,7,7,0,3,1
660730,Elvin Rodríguez,Arizona Diamondbacks,19.7,9.15,8.44,18,7,1,9,2
663362,Matt Waldron,San Diego Padres,4.7,7.71,8.46,3,6,0,1,1
683155,Joey Estes,Athletics,11.0,9.82,8.65,6,6,1,4,2
800311,Didier Fuentes,Atlanta Braves,13.0,13.85,9.1,12,6,2,6,4
694646,Chayce McDermott,Baltimore Orioles,8.7,15.58,10.03,9,12,1,3,1
502043,Kyle Gibson,Durham Bulls,12.3,16.78,10.56,10,7,0,7,4
695534,Chase Petty,Cincinnati Reds,6.0,19.5,11.77,7,8,1,3,2
