date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2024-04-03,MIL,MIN,3,7,1692.4,1608.9,8.7,-5.7,0,0.6655,0,1.0951,0.4429
2024-04-03,ATH,BOS,0,1,1353.2,1527.5,5.9,-0.9,0,0.3748,0,0.4698,0.1405
2024-04-03,AZ,NYY,5,6,1541.7,1575.8,-8.5,-13.7,0,0.53,0,0.755,0.2809
2024-04-03,PHI,CIN,1,4,1602.4,1520.0,36.7,-35.3,0,0.7156,0,1.2573,0.512
2024-04-03,SEA,CLE,0,8,1527.9,1526.8,31.1,-72.9,0,0.6723,0,1.1156,0.4519
2024-04-03,SD,STL,3,2,1576.8,1518.7,3.5,-117.7,0,0.7351,1,0.3077,0.0702
2024-04-03,WSH,PIT,5,3,1427.6,1600.0,49.9,-1.3,0,0.4247,1,0.8563,0.331
2024-04-03,CHC,COL,9,8,1570.0,1395.0,-0.5,-50.9,0,0.7672,1,0.265,0.0542
2024-04-03,HOU,TOR,8,0,1567.3,1586.0,-28.5,-1.3,0,0.5105,1,0.6724,0.2396
2024-04-03,LAD,SF,5,4,1662.6,1455.7,45.9,-11.7,0,0.7903,1,0.2354,0.044
2024-04-04,NYM,DET,3,6,1534.6,1591.3,-35.3,3.9,0,0.453,0,0.6034,0.2052
2024-04-04,NYM,DET,2,1,1521.1,1604.8,8.7,-6.9,0,0.485,1,0.7237,0.2653
2024-04-04,WSH,PIT,4,7,1441.1,1586.5,-75.3,-36.1,0,0.3574,0,0.4422,0.1277
2024-04-04,MIN,CLE,2,4,1630.3,1552.3,15.9,19.5,10,0.6524,0,1.0568,0.4257
2024-04-04,STL,MIA,8,5,1514.1,1461.9,-10.5,-2.9,0,0.6116,1,0.4916,0.1508
2024-04-04,KC,CWS,10,1,1501.2,1353.2,31.9,-36.1,0,0.7611,1,0.273,0.0571
2024-04-05,NYY,TOR,0,3,1583.1,1566.5,-23.3,15.5,0,0.5377,0,0.7715,0.2891
2024-04-05,DET,ATH,5,4,1597.6,1348.9,61.9,-26.9,10,0.8282,1,0.1885,0.0295
2024-04-05,CHC,LAD,9,7,1572.7,1664.9,-37.7,-116.9,10,0.5595,1,0.5808,0.1941
2024-04-05,COL,TB,10,7,1392.3,1580.4,-31.7,6.3,0,0.3175,1,1.1472,0.4658
2024-04-05,PIT,BAL,2,5,1596.2,1606.6,1.5,15.1,0,0.5355,0,0.7669,0.2868
2024-04-05,SF,SD,3,2,1453.4,1581.5,-12.9,37.9,0,0.3631,1,1.013,0.4056
2024-04-05,CIN,NYM,2,3,1538.4,1528.3,22.7,-20.9,0,0.6212,0,0.9708,0.3859
2024-04-05,WSH,PHI,0,4,1431.4,1584.0,-14.9,3.9,0,0.3708,0,0.4632,0.1375
2024-04-05,ATL,AZ,6,5,1651.0,1534.5,-40.5,-93.3,10,0.7352,1,0.3077,0.0701
2024-04-05,KC,CWS,2,1,1511.4,1342.9,4.3,10.7,0,0.7218,1,0.326,0.0774
2024-04-05,TEX,HOU,10,2,1593.1,1586.8,18.3,18.3,0,0.5698,1,0.5624,0.185
2024-04-05,MIL,SEA,6,5,1671.1,1502.4,-4.5,31.1,10,0.7062,1,0.3479,0.0863
2024-04-05,LAA,BOS,6,8,1488.4,1531.8,-48.5,-24.1,0,0.4853,0,0.6641,0.2355
2024-04-06,DET,ATH,0,4,1599.4,1347.1,-36.9,-22.1,0,0.7747,0,1.4905,0.6002
2024-04-06,MIN,CLE,1,3,1615.8,1566.8,23.9,-35.7,0,0.6756,0,1.1259,0.4565
2024-04-06,STL,MIA,3,1,1523.6,1452.4,-33.7,-15.3,0,0.6203,1,0.4776,0.1442
2024-04-06,CHC,LAD,1,4,1584.4,1653.2,-50.9,57.1,0,0.3652,0,0.4545,0.1334
2024-04-06,PIT,BAL,5,4,1580.6,1622.2,-10.5,-22.5,0,0.5292,1,0.6363,0.2216
2024-04-06,WSH,PHI,2,5,1420.5,1595.0,-14.5,27.1,0,0.3268,0,0.3957,0.1068
2024-04-06,CIN,NYM,9,6,1530.3,1536.5,33.5,-6.9,0,0.6004,1,0.5101,0.1597
2024-04-06,TEX,HOU,7,2,1611.2,1568.7,13.5,-59.7,0,0.6821,1,0.3826,0.1011
2024-04-06,NYY,TOR,9,8,1566.5,1583.0,18.7,10.7,0,0.5532,1,0.592,0.1996
2024-04-06,KC,CWS,3,0,1514.2,1340.1,15.5,-30.1,0,0.7635,1,0.2699,0.0559
2024-04-06,MIL,SEA,3,5,1673.8,1499.6,-25.3,18.3,0,0.6955,0,1.1889,0.4837
2024-04-06,ATL,AZ,9,8,1654.6,1530.9,28.3,17.5,0,0.6988,1,0.3584,0.0907
2024-04-06,COL,TB,6,8,1409.7,1563.0,-4.5,-41.3,0,0.43,0,0.5621,0.1849
2024-04-06,SF,SD,0,4,1461.3,1573.6,-32.1,28.3,0,0.3695,0,0.4612,0.1365
2024-04-06,LAA,BOS,2,1,1477.3,1542.9,-27.3,28.7,0,0.4242,1,0.8576,0.3316
2024-04-07,PIT,BAL,3,2,1587.2,1615.6,-26.9,-11.3,0,0.5126,1,0.6683,0.2376
2024-04-07,WSH,PHI,3,2,1411.9,1603.6,20.3,41.9,0,0.3294,1,1.1104,0.4497
2024-04-07,ATL,AZ,5,2,1658.1,1527.5,78.3,12.3,0,0.7478,1,0.2906,0.0636
2024-04-07,NYY,TOR,8,3,1572.6,1576.9,-3.7,-12.9,0,0.5683,1,0.565,0.1863
2024-04-07,CIN,NYM,1,3,1542.1,1524.6,-40.1,8.3,0,0.5277,0,0.7502,0.2785
2024-04-07,DET,ATH,1,7,1574.7,1371.7,37.1,-25.3,0,0.7908,0,1.5643,0.6253
2024-04-07,KC,CWS,5,3,1519.6,1334.7,-11.7,54.3,0,0.685,1,0.3783,0.0992
2024-04-07,MIL,SEA,12,4,1657.8,1515.7,-28.5,-65.7,0,0.7351,1,0.3077,0.0702
2024-04-07,STL,MIA,3,10,1530.5,1445.5,-15.3,-74.5,0,0.7072,0,1.2282,0.5001
2024-04-07,CHC,LAD,8,1,1571.5,1666.1,12.7,1.1,0,0.4678,1,0.7597,0.2833
2024-04-07,COL,TB,2,3,1402.3,1570.4,-59.3,3.5,0,0.3132,0,0.3757,0.0981
2024-04-07,SF,SD,3,2,1448.5,1586.4,43.9,-8.5,0,0.465,1,0.7657,0.2862
2024-04-07,LAA,BOS,2,12,1484.2,1536.0,-100.1,29.1,0,0.361,0,0.4478,0.1303
2024-04-07,TEX,HOU,1,3,1624.0,1556.0,-44.9,-4.1,0,0.5929,0,0.8987,0.3516
2024-04-08,CLE,CWS,4,0,1580.6,1330.6,-96.5,29.9,0,0.6892,1,0.3722,0.0966
