Date,Team,Name,Pos,Age,Service Time,Transaction Details,2025 WAR,Proj. WAR
5-Nov,ARI,Casey Kelly,SP/RP,36,2.15,Outrighted to minors; elected free agency,0,
5-Nov,ARI,Connor Kaiser,INF,29,0.073,Outrighted to minors; elected free agency,-0.2,
5-Nov,ARI,Kyle Nelson,RP,29,3.081,Outrighted to minors; elected free agency,-0.2,
5-Nov,ATH,Anthony Maldonado,RP,28,0.068,Outrighted to minors; elected free agency,-0.2,
5-Nov,CIN,Scott Barlow,RP,33,7.026,Club option declined,0.1,0.2
5-Nov,CIN,Brent Suter,RP,36,8.161,Club option declined,0.1,0
5-Nov,CIN,Austin Hays,OF,30,6.057,Mutual option declined by team,1.2,0.9
5-Nov,MIA,Jesus Tinoco,RP,31,2.112,Outrighted to minors; elected free agency,0.2,
5-Nov,MIA,Freddy Tarnok,RP,27,1.104,Outrighted to minors; elected free agency,0,
5-Nov,MIA,Valente Bellozo,SP,26,1.05,Outrighted to minors,-0.2,0
5-Nov,NYY,Jonathan Loáisiga,RP,31,7.022,Club option declined,-0.5,0
5-Nov,SEA,Jorge Polanco,INF,32,9.024,Player option declined,2.6,2.3
5-Nov,TEX,Billy McKinney,OF,31,3.119,Outrighted to minors; elected free agency,-0.2,
5-Nov,TEX,Dustin Harris,OF/INF,26,0.061,Outrighted to minors; elected free agency,-0.1,
4-Nov,ARI,Elvin Rodríguez,RP,28,0.092,Club option declined,-0.5,
4-Nov,ATL,Nathan Wiles,SP/RP,27,0.018,Released,0,
4-Nov,BOS,Liam Hendriks,RP,37,11.164,Mutual option declined by team,0,0
4-Nov,CHW,Martín Pérez,SP,35,13.038,Mutual option declined by player,0.8,0.3
4-Nov,COL,Kyle Farmer,INF,35,7.129,Mutual option declined by team,-1.1,0
4-Nov,DET,Randy Dobnak,SP,31,3.059,Club option declined,-0.1,0
4-Nov,MIL,Jose Quintana,SP,37,13.133,Club option declined,0.8,1.2
4-Nov,MIL,Rhys Hoskins,1B,33,8.053,Mutual option declined by team,0.9,0.4
4-Nov,NYM,Drew Smith,RP,32,7.034,Club option declined,,0
4-Nov,PHI,Harrison Bader,OF,32,8.03,Mutual option declined by player,3.2,2
4-Nov,SDP,Elias Díaz,C,35,9.087,Mutual option declined by team,0.4,0.1
4-Nov,SDP,Tyler Wade,INF/OF,31,6.01,Club option declined,-0.3,0
3-Nov,BAL,Jorge Mateo,INF/OF,31,6,Club option declined,-0.6,0.2
3-Nov,BOS,Alex Bregman,3B,32,9.07,Player option declined,3.5,3.7
3-Nov,BOS,Lucas Giolito,SP,31,8.08,Mutual option declined by player,2,1.2
3-Nov,COL,Orlando Arcia,INF,31,8.114,Became a free agent,-0.9,0.1
3-Nov,KCR,Randal Grichuk,OF,34,11.033,Mutual option declined by player,-0.4,0.4
3-Nov,MIL,Danny Jansen,C,31,7.05,Mutual option declined by team,1.3,1.3
3-Nov,NYM,Edwin Díaz,RP,32,9.121,Opted out of contract,2,1.7
3-Nov,NYM,Pete Alonso,1B,31,7,Player option declined,3.6,3.6
3-Nov,SDP,Robert Suarez,RP,35,4,Opted out of contract,1.9,0.9
3-Nov,SEA,Mitch Garver,C,35,8.045,Mutual option declined by team,0,0.3
3-Nov,SFG,Tom Murphy,C,35,8.092,Club option declined,,0.1
2-Nov,ARI,Jalen Beeks,RP,32,7.003,Became a free agent,0.2,0.2
2-Nov,ATH,Scott McGough,RP,36,2,Became a free agent,-0.1,0
2-Nov,ATH,José Leclerc,RP,32,9.041,Became a free agent,-0.3,0.1
2-Nov,ATH,Sean Newcomb,RP,33,6.041,Became a free agent,1.7,0.5
2-Nov,ATL,Charlie Morton,SP,42,17.01,Became a free agent,0.3,0.4
2-Nov,ATL,Marcell Ozuna,DH,35,12.124,Became a free agent,1.2,1.4
2-Nov,ATL,Connor Seabold,SP/RP,30,1.054,Became a free agent,0,
2-Nov,BAL,Gary Sánchez,C,33,9.05,Became a free agent,-0.2,0.5
2-Nov,BAL,Tomoyuki Sugano,SP,36,1,Became a free agent,0.1,0.8
2-Nov,BOS,Justin Wilson,RP,38,13.035,Became a free agent,1,0.5
2-Nov,BOS,Steven Matz,RP,35,10.099,Became a free agent,1.1,2.1
2-Nov,BOS,Rob Refsnyder,OF,35,7.048,Became a free agent,1,0.5
2-Nov,BOS,Dustin May,SP,28,6.059,Became a free agent,0.8,1.6
2-Nov,CHC,Carlos Santana,1B,40,15.115,Became a free agent,0.3,0.3
2-Nov,CHC,Ryan Brasier,RP,38,8.094,Became a free agent,0.3,0
2-Nov,CHC,Drew Pomeranz,RP,37,12.008,Became a free agent,0.7,0.7
2-Nov,CHC,Taylor Rogers,RP,35,9.145,Became a free agent,0.2,0.4
2-Nov,CHC,Brad Keller,RP,30,7.062,Became a free agent,1.3,0.2
2-Nov,CHC,Michael Soroka,SP,28,7.009,Became a free agent,1.1,0.7
2-Nov,CHC,Willi Castro,INF/OF,29,6.017,Became a free agent,0.6,1.2
2-Nov,CHC,Aaron Civale,SP,31,6.058,Became a free agent,0.9,1.4
2-Nov,CHC,Kyle Tucker,OF,29,6.079,Became a free agent,4.5,4.9
2-Nov,CHW,Michael A. Taylor,OF,35,10.129,Became a free agent,-0.1,
2-Nov,CHW,Miguel Castro,RP,31,8.169,Became a free agent,-0.1,
2-Nov,CHW,Tyler Alexander,RP,31,6.011,Became a free agent,1.3,0.1
2-Nov,CIN,Wade Miley,SP,39,13.142,Became a free agent,-0.1,0.1
2-Nov,CIN,Nick Martinez,SP,35,7.002,Became a free agent,2.1,1.5
2-Nov,CIN,Miguel Andujar,INF/OF,31,6.053,Became a free agent,1.1,0.6
2-Nov,CIN,Zack Littell,SP,30,6.043,Became a free agent,1.5,1.6
2-Nov,COL,Germán Márquez,SP,31,9.027,Became a free agent,0.3,0.7
2-Nov,DET,Alex Cobb,SP,38,14.061,Became a free agent,,0.5
2-Nov,DET,Tommy Kahnle,RP,36,10.131,Became a free agent,-0.2,0
2-Nov,DET,Rafael Montero,RP,35,9.095,Became a free agent,0.1,0
2-Nov,DET,Chris Paddack,SP,30,7,Became a free agent,0.7,0.9
2-Nov,HOU,Craig Kimbrel,RP,38,14.031,Became a free agent,0,0
