date,home,away,home_score,away_score,home_elo,away_elo,home_fip_adj,away_fip_adj,home_bp_adj,away_bp_adj,travel_penalty,home_win_prob,home_won,log_loss,brier
2025-04-02,SD,CLE,5,2,1708.6,1559.8,0,0,0,0,0,0.711,1,0.341,0.0835
2025-04-02,SEA,DET,3,2,1565.9,1598.4,0,0,0,0,0,0.5259,1,0.6427,0.2248
2025-04-02,HOU,SF,3,6,1585.0,1618.1,0,0,0,0,0,0.5252,0,0.7448,0.2758
2025-04-02,MIA,NYM,5,6,1513.4,1629.9,0,0,0,0,0,0.4299,0,0.562,0.1848
2025-04-02,BAL,BOS,0,3,1549.5,1481.1,0,0,0,0,0,0.6364,0,1.0117,0.405
2025-04-02,PHI,COL,5,1,1598.7,1436.1,0,0,0,0,0,0.7222,1,0.3255,0.0772
2025-04-02,NYY,AZ,3,4,1593.9,1635.9,0,0,0,0,0,0.515,0,0.7237,0.2653
2025-04-02,LAD,ATL,6,5,1730.9,1584.2,0,0,0,0,0,0.7093,1,0.3435,0.0845
2025-04-03,BAL,BOS,4,8,1531.4,1499.1,0,0,0,0,0,0.5985,0,0.9126,0.3582
2025-04-03,PHI,COL,3,1,1605.3,1429.4,0,0,0,0,0,0.7326,1,0.3112,0.0715
2025-04-03,MIN,HOU,2,5,1407.0,1570.5,0,0,0,0,0,0.3791,0,0.4765,0.1437
2025-04-03,NYY,AZ,9,7,1586.9,1642.9,0,0,0,0,0,0.4988,1,0.6956,0.2512
2025-04-03,MIL,CIN,1,0,1550.2,1498.6,0,0,0,0,0,0.619,1,0.4797,0.1452
2025-04-04,DET,CWS,7,4,1592.0,1363.1,0,0,0,0,0,0.7694,1,0.2621,0.0532
2025-04-04,BOS,STL,13,9,1518.8,1586.0,0,0,0,0,0,0.4861,1,0.7214,0.2641
2025-04-04,CHC,SD,3,1,1616.4,1714.8,0,0,0,0,0,0.4503,1,0.7978,0.3022
2025-04-04,NYM,TOR,5,0,1635.3,1490.9,0,0,0,0,0,0.7073,1,0.3463,0.0857
2025-04-04,COL,ATH,3,6,1425.1,1426.8,0,0,0,0,0,0.5609,0,0.8231,0.3146
2025-04-04,PIT,NYY,4,9,1467.4,1597.6,0,0,0,0,0,0.4148,0,0.5357,0.172
