"Date,Team,Name,Pos,Age,Service Time,Transaction Details,2025 WAR,Proj. WAR"
"10-Jan,CHC,Alex Bregman,3B,32,9.07,Agreed to five-year contract (2026-30),3.5,3.7"
"10-Jan,CHC,Corbin Martin,RP,30,2.146,Agreed to Minor League contract (2026),-0.2,0"
"10-Jan,MIL,Greg Jones,OF/INF,28,0.037,Agreed to Minor League contract (2026),0,"
"9-Jan,STL,Ryne Stanek,RP,34,8.038,Agreed to one-year contract (2026),0.1,0.2"
"9-Jan,BOS,Tayron Guerrero,RP,35,2.004,Agreed to Minor League contract (2026),,"
"9-Jan,TEX,Nabil Crismatt,SP/RP,31,3.029,Agreed to Minor League contract (2026),0.1,"
"9-Jan,LAA,Nick Madrigal,INF,29,5.087,Agreed to Minor League contract (2026),,0.1"
"8-Jan,SEA,Michael Rucker,RP,32,2.132,Agreed to Minor League contract (2026),,"
"8-Jan,PIT,Ryan O'Hearn,1B/OF,32,7.002,Agreed to two-year contract (2026-27),3,1.5"
"8-Jan,BOS,Seth Martinez,RP,31,2.097,Agreed to Minor League contract (2026),-0.1,0"
"7-Jan,COL,Michael Lorenzen,SP,34,10.159,Agreed to one-year contract (2026),1.2,1.1"
"7-Jan,PIT,Chris Devenski,RP,35,7.157,Agreed to Minor League contract (2026),0.1,0"
"7-Jan,ARI,Thomas Hatch,SP/RP,31,2.098,Agreed to Minor League contract (2026),-0.3,"
"7-Jan,TBR,Edward Olivares,OF,30,3.158,Agreed to Minor League contract (2026),,"
"7-Jan,ARI,Luken Baker,1B,29,0.164,Agreed to Minor League contract (2026),0,"
"7-Jan,TBR,Blake Sabol,C/1B,28,1.048,Agreed to Minor League contract (2026),-0.2,"
"7-Jan,CIN,Hagen Danner,RP,27,0.052,Agreed to Minor League contract (2026),,"
"7-Jan,KCR,Josh Rojas,INF,32,5.104,Agreed to Minor League contract (2026),-1.3,0"
"7-Jan,CIN,Michael Toglia,1B/OF,27,2.039,Agreed to Minor League contract (2026),-2.2,"
"7-Jan,TBR,Chase Solesky,SP/RP,28,,Agreed to Minor League contract (2026),,"
"7-Jan,MIN,Andrew Bash,SP/RP,29,,Agreed to Minor League contract (2026),,"
"6-Jan,NYM,Christian Arroyo,INF,31,4.166,Agreed to Minor League contract (2026),,"
"6-Jan,PHI,René Pinto,C,29,1.015,Agreed to Minor League contract (2026),,"
"6-Jan,BOS,T.J. Sikkema,SP,27,,Agreed to Minor League contract (2026),,"
"6-Jan,BAL,Eric Torres,RP,26,,Agreed to Minor League contract (2026),,"
"5-Jan,CLE,Pedro Avila,SP/RP,29,1.099,Agreed to Minor League contract (2026),,0.1"
"5-Jan,PIT,Noah Davis,RP,29,0.157,Agreed to Minor League contract (2026),-0.7,"
"5-Jan,STL,Bruce Zimmermann,SP/RP,31,1.137,Agreed to Minor League contract (2026),-0.2,"
"4-Jan,NYY,Paul DeJong,INF,32,8.057,Agreed to Minor League contract (2026),0.2,0.1"
"3-Jan,MIN,Orlando Arcia,INF,31,8.114,Agreed to Minor League contract (2026),-0.9,0.1"
"3-Jan,SDP,Jose Miranda,3B/1B,28,2.135,Agreed to Minor League contract (2026),-0.4,0"
"3-Jan,TOR,Kazuma Okamoto,3B/1B,30,,Agreed to four-year contract (2026-29),,2.7"
"2-Jan,ATL,Javy Guerra,RP,30,3.003,Agreed to Minor League contract (2026),,"
"2-Jan,PHI,Tucker Davidson,SP/RP,30,2.041,Agreed to Minor League contract (2026),,0"
"2-Jan,CHW,Jarred Kelenic,OF,26,3.035,Agreed to Minor League contract (2026),-0.5,0"
"1-Jan,SFG,Tyler Mahle,SP,31,8.018,Agreed to one-year contract (2026),1.9,1.3"
"1-Jan,NYM,Mike Baumann,RP,30,2.072,Agreed to Minor League contract (2026),,"
"1-Jan,HOU,Tatsuya Imai,SP,28,,Agreed to three-year contract (2026-28),,1.8"
"31-Dec,CHC,Christian Bethancourt,C,34,5.023,Agreed to Minor League contract (2026),,"
"31-Dec,TOR,Nic Enright,RP,29,0.168,Agreed to Minor League contract (2026-27),0.2,"
"31-Dec,TOR,Josh Winckowski,SP/RP,28,3.003,Agreed to Minor League contract (2026-27),0.2,"
"31-Dec,WSN,Matt Mervis,1B,28,0.121,Agreed to Minor League contract (2026),-0.4,0"
"30-Dec,LAA,Kirby Yates,RP,39,11.021,Agreed to one-year contract (2026),-0.1,0.4"
"29-Dec,KCR,Jorge Alfaro,C,33,5.16,Agreed to Minor League contract (2026),-0.3,"
"29-Dec,ATL,José Azocar,OF,30,2.087,Agreed to Minor League contract (2026),-0.1,"
"29-Dec,CIN,Garrett Hampson,INF/OF,31,7.003,Agreed to Minor League contract (2026),-0.2,0"
"29-Dec,KCR,Elih Marrero,C,29,,Agreed to Minor League contract (2026),,"
"29-Dec,MIA,Jesús Bastidas,INF,27,,Agreed to Minor League contract (2026),,"
"29-Dec,MIA,Daniel Johnson,OF,30,1.025,Agreed to Minor League contract (2026),-0.1,"
"27-Dec,ATL,Tayler Scott,RP,34,2.098,Agreed to Minor League contract (2026),-0.6,"
"27-Dec,CHC,Hunter Harvey,RP,31,6.047,Agreed to one-year contract (2026),0.5,1"
"27-Dec,CIN,JJ Bleday,OF,28,3.029,Agreed to one-year contract (2026),-0.1,0.6"
"27-Dec,HOU,Sam Carlson,RP,27,,Agreed to Minor League contract (2026),,"
"26-Dec,PHI,Mark Kolozsvary,C,30,0.047,Agreed to Minor League contract (2026),,"
"25-Dec,CHC,Jeff Brigham,RP,34,3.153,Agreed to Minor League contract (2026),0,"
"24-Dec,CIN,Michael Chavis,INF,30,4.089,Agreed to Minor League contract (2026),,"
"24-Dec,MIA,Pete Fairbanks,RP,32,6.057,Agreed to one-year contract (2026),1,1.3"
"24-Dec,NYY,Kenedy Corona,OF,26,0.012,Agreed to Minor League contract (2026),0,"
"23-Dec,DET,Burch Smith,RP,36,5.086,Agreed to Minor League contract (2026),,"
"23-Dec,PHI,Génesis Cabrera,RP,29,5.149,Agreed to Minor League contract (2026),-0.9,0"
"23-Dec,CHW,Sean Newcomb,SP/RP,33,6.041,Agreed to one-year contract (2026),1.7,0.5"
