fip_weight,bullpen_weight,park_scale,prob_shrinkage,season,games,accuracy,log_loss,brier
25,25,0.5,0.14,2025,2430,0.5621399176954732,0.6838630817910825,0.24534379109527954
35,0,1.0,0.14,2025,2430,0.5539094650205761,0.6838738867167977,0.2454143437402713
30,20,0.0,0.14,2025,2430,0.5609053497942387,0.6838756236489565,0.24536174959405543
25,25,1.0,0.14,2025,2430,0.5625514403292181,0.6838789113057295,0.245350970411232
35,5,0.0,0.14,2025,2430,0.5567901234567901,0.6838803039718848,0.24540427555716418
30,20,0.5,0.14,2025,2430,0.5609053497942387,0.683889141884734,0.2453679898752711
35,5,0.5,0.14,2025,2430,0.5563786008230452,0.6838906002437503,0.24540930523873355
35,5,1.0,0.14,2025,2430,0.5567901234567901,0.6839033956814307,0.24541540773979711
30,20,1.0,0.14,2025,2430,0.5604938271604938,0.6839047782855234,0.2453751551980344
35,10,0.0,0.14,2025,2430,0.5596707818930041,0.6840013836852302,0.24544609902937384
35,10,0.5,0.14,2025,2430,0.5592592592592592,0.6840127378925394,0.24545153097868286
35,10,1.0,0.14,2025,2430,0.5596707818930041,0.6840266126282173,0.24545804647489744
35,15,0.0,0.14,2025,2430,0.562962962962963,0.6842157375123081,0.24552923427605902
35,15,0.5,0.14,2025,2430,0.5625514403292181,0.68422803750079,0.24553503121456793
35,15,1.0,0.14,2025,2430,0.5621399176954732,0.6842429038040241,0.24554193059491092
30,25,0.0,0.14,2025,2430,0.5609053497942387,0.6842789292113212,0.24553009027277822
30,25,0.5,0.14,2025,2430,0.5613168724279836,0.684293087874885,0.24553657633025092
30,25,1.0,0.14,2025,2430,0.5609053497942387,0.6843094733747297,0.24554403086858778
25,0,0.0,0.12,2025,2430,0.5588477366255145,0.6843529828205218,0.24561670041303021
25,0,0.5,0.12,2025,2430,0.5580246913580247,0.6843609048666033,0.24562068704414222
25,0,1.0,0.12,2025,2430,0.5580246913580247,0.6843704419857464,0.24562537048375754
25,5,0.0,0.12,2025,2430,0.5588477366255145,0.6843971357096993,0.24562292543509628
25,5,0.5,0.12,2025,2430,0.5576131687242798,0.6844065500812219,0.24562748612867902
25,5,1.0,0.12,2025,2430,0.5576131687242798,0.6844175762828775,0.24563274618103376
35,20,0.0,0.14,2025,2430,0.5592592592592592,0.684522586103489,0.24565326745232138
35,20,0.5,0.14,2025,2430,0.5596707818930041,0.684535702959851,0.2456593818745063
25,10,0.0,0.12,2025,2430,0.5592592592592592,0.6845503833895172,0.24567741758749143
35,20,1.0,0.14,2025,2430,0.5604938271604938,0.6845514569902359,0.2456666262255371
25,10,0.5,0.12,2025,2430,0.5592592592592592,0.6845611543364135,0.2456825028894225
25,10,1.0,0.12,2025,2430,0.5592592592592592,0.6845735682947997,0.24568830291905266
40,0,0.0,0.14,2025,2430,0.5576131687242798,0.6847091826494287,0.24579157805002053
40,0,0.5,0.14,2025,2430,0.557201646090535,0.6847175629204104,0.2457959337352357
40,0,1.0,0.14,2025,2430,0.5567901234567901,0.6847289786105947,0.2458015631155476
40,5,0.0,0.14,2025,2430,0.5576131687242798,0.6847373137660057,0.24579167136450283
40,5,0.5,0.14,2025,2430,0.5576131687242798,0.6847468281836322,0.24579643596386272
40,5,1.0,0.14,2025,2430,0.5567901234567901,0.6847593776782942,0.24580247836616814
25,15,0.0,0.12,2025,2430,0.5617283950617284,0.6848120549633042,0.2457798023030298
25,15,0.5,0.12,2025,2430,0.5621399176954732,0.6848240267692944,0.24578535008657632
25,15,1.0,0.12,2025,2430,0.5621399176954732,0.6848377081230046,0.245791641376476
40,10,0.0,0.14,2025,2430,0.560082304526749,0.6848575763258976,0.2458322808545527
40,10,0.5,0.14,2025,2430,0.5596707818930041,0.6848681427449452,0.24583743588374085
40,10,1.0,0.14,2025,2430,0.5580246913580247,0.684881763954043,0.2458438785452315
35,25,0.0,0.14,2025,2430,0.5588477366255145,0.6849209745097158,0.2458176829416572
30,0,0.0,0.12,2025,2430,0.5534979423868313,0.6849266976546563,0.24587370627626737
30,0,0.5,0.12,2025,2430,0.5530864197530864,0.6849341371466054,0.2458776159018128
35,25,0.5,0.14,2025,2430,0.5584362139917696,0.6849347636910496,0.24582405764515938
30,0,1.0,0.12,2025,2430,0.5530864197530864,0.6849437666810488,0.2458824518062328
35,25,1.0,0.14,2025,2430,0.5588477366255145,0.6849512863520111,0.2458315986748467
30,5,0.0,0.12,2025,2430,0.5559670781893004,0.6849732718956293,0.24588034818422477
30,5,0.5,0.12,2025,2430,0.5555555555555556,0.6849821861149294,0.2458848061139592
30,5,1.0,0.12,2025,2430,0.5551440329218107,0.6849932871842943,0.24589019368071038
40,15,0.0,0.14,2025,2430,0.5592592592592592,0.6850693813600777,0.2459131106301009
40,15,0.5,0.14,2025,2430,0.5596707818930041,0.6850809003012028,0.24591862732343492
40,15,1.0,0.14,2025,2430,0.5596707818930041,0.685095514724443,0.24592544770212652
30,10,0.0,0.12,2025,2430,0.5576131687242798,0.6851273955021033,0.24593420627088533
30,10,0.5,0.12,2025,2430,0.5563786008230452,0.6851376611196335,0.24593917256060666
30,10,1.0,0.12,2025,2430,0.5555555555555556,0.6851501413223554,0.24594508246687752
25,20,0.0,0.12,2025,2430,0.5654320987654321,0.6851812761114237,0.24592957715647132
25,20,0.5,0.12,2025,2430,0.5662551440329218,0.6851942743640463,0.2459355133810129
25,20,1.0,0.12,2025,2430,0.5662551440329218,0.6852090846356979,0.24594223573317084
40,20,0.0,0.14,2025,2430,0.5588477366255145,0.685371965554742,0.24603376511782749
40,20,0.5,0.14,2025,2430,0.5604938271604938,0.6853843210656553,0.24603960471612207
30,15,0.0,0.12,2025,2430,0.5596707818930041,0.6853884012185294,0.2460349167956062
40,20,1.0,0.14,2025,2430,0.560082304526749,0.6853998344182628,0.24604677070618056
30,15,0.5,0.12,2025,2430,0.5596707818930041,0.6853998753596121,0.2460403392665827
30,15,1.0,0.12,2025,2430,0.560082304526749,0.6854136237098838,0.2460467305447806
25,25,0.0,0.12,2025,2430,0.5621399176954732,0.6856569738876773,0.24612611624723094
25,25,0.5,0.12,2025,2430,0.5621399176954732,0.6856708069210236,0.24613235587661228
25,25,1.0,0.12,2025,2430,0.5625514403292181,0.685686590598704,0.24613943835751673
35,0,0.0,0.12,2025,2430,0.5530864197530864,0.685742067525045,0.24623694197201018
35,0,0.5,0.12,2025,2430,0.5547325102880658,0.6857485494445118,0.24624058030941423
30,20,0.0,0.12,2025,2430,0.5609053497942387,0.6857554233377608,0.2461819936861123
35,0,1.0,0.12,2025,2430,0.5539094650205761,0.6857578210967247,0.24624537327626406
45,0,0.0,0.14,2025,2430,0.5584362139917696,0.6857588549633943,0.24626249935174468
40,25,0.0,0.14,2025,2430,0.5584362139917696,0.6857643956651382,0.24619375228007306
45,0,0.5,0.14,2025,2430,0.5592592592592592,0.6857661781579693,0.24626649307325021
30,20,0.5,0.12,2025,2430,0.5609053497942387,0.685767944745283,0.24618780853236003
45,0,1.0,0.14,2025,2430,0.5584362139917696,0.6857770500910629,0.2462719476519174
40,25,0.5,0.14,2025,2430,0.5584362139917696,0.685777456334025,0.24619986644449296
30,20,1.0,0.12,2025,2430,0.5604938271604938,0.6857828325142838,0.24619462904684922
45,5,0.0,0.14,2025,2430,0.5604938271604938,0.6857874176283839,0.24626227695385736
35,5,0.0,0.12,2025,2430,0.5567901234567901,0.6857904974324762,0.24624372039893014
40,25,1.0,0.14,2025,2430,0.5576131687242798,0.6857937593123379,0.24620733670541234
45,5,0.5,0.14,2025,2430,0.5604938271604938,0.6857958582725351,0.24626666084102078
35,5,0.5,0.12,2025,2430,0.5563786008230452,0.6857984337824331,0.24624788150956353
45,5,1.0,0.14,2025,2430,0.5613168724279836,0.6858078497651998,0.2462725108544417
35,5,1.0,0.12,2025,2430,0.5567901234567901,0.6858091579170392,0.24625320168944206
45,10,0.0,0.14,2025,2430,0.5580246913580247,0.6859062481322019,0.24630140974644663
45,10,0.5,0.14,2025,2430,0.5588477366255145,0.6859157363451559,0.24630617303196026
45,10,1.0,0.14,2025,2430,0.560082304526749,0.6859287941066426,0.24631241158238898
35,10,0.0,0.12,2025,2430,0.5596707818930041,0.6859447672557838,0.24629657102395025
35,10,0.5,0.12,2025,2430,0.5592592592592592,0.6859540476397267,0.24630122444314068
35,10,1.0,0.12,2025,2430,0.5596707818930041,0.6859661411503285,0.2463070498143721
45,15,0.0,0.14,2025,2430,0.5584362139917696,0.6861147701686088,0.24637961543887188
45,15,0.5,0.14,2025,2430,0.5580246913580247,0.6861252191178971,0.24638473741202124
45,15,1.0,0.14,2025,2430,0.5588477366255145,0.6861392738328437,0.246391348137487
35,15,0.0,0.12,2025,2430,0.562962962962963,0.6862042163483519,0.24639514282286432
35,15,0.5,0.12,2025,2430,0.5625514403292181,0.6862147112365043,0.24640024625809676
25,0,0.0,0.1,2025,2430,0.5588477366255145,0.6862201679885835,0.24643127402516243
25,0,0.5,0.1,2025,2430,0.5580246913580247,0.6862261513519091,0.24643455756704521
30,25,0.0,0.12,2025,2430,0.5609053497942387,0.6862274024193771,0.24637483268084995
35,15,1.0,0.12,2025,2430,0.5621399176954732,0.6862280728673136,0.24640654355113936
25,0,1.0,0.1,2025,2430,0.5580246913580247,0.6862339333302234,0.24643859379500938
30,25,0.5,0.12,2025,2430,0.5613168724279836,0.6862407927837942,0.24638096522931754
30,25,1.0,0.12,2025,2430,0.5609053497942387,0.6862566744963785,0.24638815229161107
25,5,0.0,0.1,2025,2430,0.5588477366255145,0.6862877740894852,0.24644469732190763
25,5,0.5,0.1,2025,2430,0.5576131687242798,0.686295601813682,0.2464486660786234
25,5,1.0,0.1,2025,2430,0.5576131687242798,0.6863052243749276,0.2464533910568735
45,20,0.0,0.14,2025,2430,0.557201646090535,0.6864122391930918,0.2464965177608625
45,20,0.5,0.14,2025,2430,0.5576131687242798,0.686423545847838,0.24650196795658474
45,20,1.0,0.14,2025,2430,0.5580246913580247,0.6864385127217565,0.24650892516701253
25,10,0.0,0.1,2025,2430,0.5592592592592592,0.6864777808708168,0.2465112874911361
25,10,0.5,0.1,2025,2430,0.5592592592592592,0.6864872980827168,0.2465158857650478
25,10,1.0,0.1,2025,2430,0.5592592592592592,0.6864986455737742,0.24652125786623538
35,20,0.0,0.12,2025,2430,0.5592592592592592,0.6865679910043432,0.24653896828537913
35,20,0.5,0.12,2025,2430,0.5596707818930041,0.6865795527899212,0.24654446808573902
35,20,1.0,0.12,2025,2430,0.5604938271604938,0.6865940638983999,0.24655119314740506
40,0,0.0,0.12,2025,2430,0.5576131687242798,0.686787240159797,0.2466990083061952
25,15,0.0,0.1,2025,2430,0.5617283950617284,0.6867894647291234,0.2466306225000348
40,0,0.5,0.12,2025,2430,0.557201646090535,0.6867923775551293,0.24670222435383615
45,25,0.0,0.14,2025,2430,0.5567901234567901,0.6867977466883962,0.2466516494424728
25,15,0.5,0.1,2025,2430,0.5621399176954732,0.6868004953707146,0.2466357805492548
40,0,1.0,0.12,2025,2430,0.5567901234567901,0.6868009047523599,0.24670681197697927
45,25,0.5,0.14,2025,2430,0.5567901234567901,0.686809792718903,0.24665738795078285
25,15,1.0,0.1,2025,2430,0.5621399176954732,0.6868134319399192,0.24664174476104309
45,25,1.0,0.14,2025,2430,0.5584362139917696,0.6868255721574146,0.24666465687285577
40,5,0.0,0.12,2025,2430,0.5576131687242798,0.6868369639253282,0.24670566395652896
40,5,0.5,0.12,2025,2430,0.5576131687242798,0.6868435350950011,0.24670937847739477
40,5,1.0,0.12,2025,2430,0.5567901234567901,0.6868534963589319,0.24671447030697655
30,0,0.0,0.1,2025,2430,0.5534979423868313,0.686951335904939,0.24674986148550626
30,0,0.5,0.1,2025,2430,0.5530864197530864,0.6869562104155486,0.24675287596237042
30,0,1.0,0.1,2025,2430,0.5530864197530864,0.6869635281507472,0.24675688904688575
50,0,0.0,0.14,2025,2430,0.5567901234567901,0.6869899322424053,0.2468098720513047
40,10,0.0,0.12,2025,2430,0.560082304526749,0.6869906700458213,0.2467571706171166
50,0,0.5,0.14,2025,2430,0.5559670781893004,0.6869959642803417,0.24681341589076147
40,10,0.5,0.12,2025,2430,0.5596707818930041,0.6869985777236317,0.24676136226960022
50,0,1.0,0.14,2025,2430,0.5551440329218107,0.687006020867997,0.24681858550148814
40,10,1.0,0.12,2025,2430,0.5580246913580247,0.6870098993665023,0.24676694328875193
50,5,0.0,0.14,2025,2430,0.557201646090535,0.687018454089785,0.24680915353802435
30,5,0.0,0.1,2025,2430,0.5559670781893004,0.6870219493507208,0.24676375246182058
50,5,0.5,0.14,2025,2430,0.5588477366255145,0.6870255891064504,0.24681307004900843
30,5,0.5,0.1,2025,2430,0.5555555555555556,0.687028651379372,0.2467674213400681
35,25,0.0,0.12,2025,2430,0.5588477366255145,0.6870350490784841,0.24672746730371184
50,5,1.0,0.14,2025,2430,0.5588477366255145,0.6870367536998491,0.24681861880721426
30,5,1.0,0.1,2025,2430,0.5551440329218107,0.687037792870032,0.2467720934054451
35,25,0.5,0.12,2025,2430,0.5584362139917696,0.6870475132950892,0.24673329907591712
35,25,1.0,0.12,2025,2430,0.5588477366255145,0.6870630387639493,0.2467403973661166
50,10,0.0,0.14,2025,2430,0.5592592592592592,0.6871352742455382,0.24684658504420712
50,10,0.5,0.14,2025,2430,0.560082304526749,0.6871434544711709,0.24685087066688366
50,10,1.0,0.14,2025,2430,0.5596707818930041,0.6871556824568497,0.24685679712278835
30,10,0.0,0.1,2025,2430,0.5576131687242798,0.6872133387098806,0.2468296523218496
30,10,0.5,0.1,2025,2430,0.5563786008230452,0.6872217265676785,0.246833930528295
25,20,0.0,0.1,2025,2430,0.5654320987654321,0.6872218880605456,0.24680213957050526
30,10,1.0,0.1,2025,2430,0.5555555555555556,0.6872325856486331,0.246839228162145
25,20,0.5,0.1,2025,2430,0.5662551440329218,0.6872342362045962,0.24680777447459804
40,15,0.0,0.12,2025,2430,0.5592592592592592,0.687247707259305,0.2468531913924361
25,20,1.0,0.1,2025,2430,0.5662551440329218,0.6872486067405891,0.2468142630899998
40,15,0.5,0.12,2025,2430,0.5596707818930041,0.6872568354467136,0.24685782739577344
40,15,1.0,0.12,2025,2430,0.5596707818930041,0.6872694260465473,0.2468638717098967
50,15,0.0,0.14,2025,2430,0.5592592592592592,0.6873398312519984,0.24692189846287307
50,15,0.5,0.14,2025,2430,0.5580246913580247,0.6873489823339923,0.24692654002818362
50,15,1.0,0.14,2025,2430,0.5576131687242798,0.6873622134386115,0.24693283357408055
30,15,0.0,0.1,2025,2430,0.5596707818930041,0.6875247826973581,0.24694715095188552
30,15,0.5,0.1,2025,2430,0.5596707818930041,0.6875346939167924,0.24695197986194398
30,15,1.0,0.1,2025,2430,0.560082304526749,0.687547144663514,0.24695785675725446
40,20,0.0,0.12,2025,2430,0.5588477366255145,0.687607237004609,0.2469932789896802
40,20,0.5,0.12,2025,2430,0.5604938271604938,0.6876174519215279,0.24699831546988998
